xiphophorus_groups/OG0000213.fa:1:>sp|P40305|IFI27_HUMAN
xiphophorus_groups/OG0005585.fa:11:>sp|Q66JZ4|TCAIM_MOUSE
xiphophorus_groups/OG0005593.fa:1:>sp|Q96KF7|SMIM8_HUMAN
xiphophorus_groups/OG0005593.fa:4:>sp|Q9CQQ0|SMIM8_MOUSE
xiphophorus_groups/OG0005598.fa:1:>sp|Q9BRX8|PXL2A_HUMAN
xiphophorus_groups/OG0005598.fa:6:>sp|Q9CYH2|PXL2A_MOUSE
xiphophorus_groups/OG0005613.fa:1:>sp|O95363|SYFM_HUMAN
xiphophorus_groups/OG0005613.fa:10:>sp|Q99M01|SYFM_MOUSE
xiphophorus_groups/OG0005614.fa:1:>sp|P11177|ODPB_HUMAN
xiphophorus_groups/OG0005614.fa:8:>sp|Q9D051|ODPB_MOUSE
xiphophorus_groups/OG0005617.fa:1:>sp|P30049|ATPD_HUMAN
xiphophorus_groups/OG0005617.fa:5:>sp|Q9D3D9|ATPD_MOUSE
xiphophorus_groups/OG0005625.fa:1:>sp|Q2VYF4|LETM2_HUMAN
xiphophorus_groups/OG0005625.fa:11:>sp|Q7TNU7|LETM2_MOUSE
xiphophorus_groups/OG0005636.fa:1:>sp|Q9BSE5|SPEB_HUMAN
xiphophorus_groups/OG0005636.fa:8:>sp|A2AS89|SPEB_MOUSE
xiphophorus_groups/OG0005659.fa:1:>sp|Q32P41|TRM5_HUMAN
xiphophorus_groups/OG0005659.fa:11:>sp|Q9D0C4|TRM5_MOUSE
xiphophorus_groups/OG0005677.fa:1:>sp|Q9BT17|MTG1_HUMAN
xiphophorus_groups/OG0005677.fa:8:>sp|Q8R2R6|MTG1_MOUSE
xiphophorus_groups/OG0005681.fa:1:>sp|Q9H8M1|CQ10B_HUMAN
xiphophorus_groups/OG0005681.fa:6:>sp|Q3THF9|CQ10B_MOUSE
xiphophorus_groups/OG0005702.fa:1:>sp|Q10713|MPPA_HUMAN
xiphophorus_groups/OG0005702.fa:11:>sp|Q9DC61|MPPA_MOUSE
xiphophorus_groups/OG0005724.fa:1:>sp|Q96KR6|F210B_HUMAN
xiphophorus_groups/OG0005724.fa:6:>sp|Q9D8B6|F210B_MOUSE
xiphophorus_groups/OG0005726.fa:1:>sp|Q9BZJ4|S2539_HUMAN
xiphophorus_groups/OG0005726.fa:8:>sp|Q9D8K8|S2539_MOUSE
xiphophorus_groups/OG0005731.fa:1:>sp|Q9Y5L4|TIM13_HUMAN
xiphophorus_groups/OG0005731.fa:4:>sp|P62075|TIM13_MOUSE
xiphophorus_groups/OG0005745.fa:1:>sp|Q15526|SURF1_HUMAN
xiphophorus_groups/OG0005745.fa:7:>sp|P09925|SURF1_MOUSE
xiphophorus_groups/OG0005752.fa:1:>sp|Q8IYU8|MICU2_HUMAN
xiphophorus_groups/OG0005752.fa:10:>sp|Q8CD10|MICU2_MOUSE
xiphophorus_groups/OG0005761.fa:1:>sp|Q9GZT6|CC90B_HUMAN
xiphophorus_groups/OG0005761.fa:7:>sp|Q8C3X2|CC90B_MOUSE
xiphophorus_groups/OG0005764.fa:1:>sp|Q9NRK6|ABCBA_HUMAN
xiphophorus_groups/OG0005764.fa:15:>sp|Q9JI39|ABCBA_MOUSE
xiphophorus_groups/OG0005768.fa:1:>sp|Q9P032|NDUF4_HUMAN
xiphophorus_groups/OG0005768.fa:5:>sp|Q9D1H6|NDUF4_MOUSE
xiphophorus_groups/OG0005779.fa:1:>sp|P07954|FUMH_HUMAN
xiphophorus_groups/OG0005779.fa:11:>sp|P97807|FUMH_MOUSE
xiphophorus_groups/OG0005790.fa:1:>sp|Q13232|NDK3_HUMAN
xiphophorus_groups/OG0005790.fa:5:>sp|Q9WV85|NDK3_MOUSE
xiphophorus_groups/OG0005805.fa:1:>sp|Q9H0R6|GATA_HUMAN
xiphophorus_groups/OG0005805.fa:11:>sp|Q9CZN8|GATA_MOUSE
xiphophorus_groups/OG0005817.fa:1:>sp|P23378|GCSP_HUMAN
xiphophorus_groups/OG0005817.fa:19:>sp|Q91W43|GCSP_MOUSE
xiphophorus_groups/OG0005857.fa:1:>sp|Q9Y6J8|STYL1_HUMAN
xiphophorus_groups/OG0005857.fa:8:>tr|Q9DAR2|Q9DAR2_MOUSE
xiphophorus_groups/OG0005858.fa:1:>sp|Q9Y6M9|NDUB9_HUMAN
xiphophorus_groups/OG0005858.fa:5:>sp|Q9CQJ8|NDUB9_MOUSE
xiphophorus_groups/OG0005861.fa:1:>sp|O15229|KMO_HUMAN
xiphophorus_groups/OG0005861.fa:11:>sp|Q91WN4|KMO_MOUSE
xiphophorus_groups/OG0005863.fa:1:>sp|O95571|ETHE1_HUMAN
xiphophorus_groups/OG0005863.fa:7:>sp|Q9DCM0|ETHE1_MOUSE
xiphophorus_groups/OG0005867.fa:1:>sp|P35914|HMGCL_HUMAN
xiphophorus_groups/OG0005867.fa:8:>sp|P38060|HMGCL_MOUSE
xiphophorus_groups/OG0005871.fa:1:>sp|P78549|NTH_HUMAN
xiphophorus_groups/OG0005871.fa:8:>sp|O35980|NTH_MOUSE
xiphophorus_groups/OG0005874.fa:1:>sp|Q5ST30|SYVM_HUMAN
xiphophorus_groups/OG0005874.fa:20:>sp|Q3U2A8|SYVM_MOUSE
xiphophorus_groups/OG0005876.fa:1:>sp|Q6PI78|TMM65_HUMAN
xiphophorus_groups/OG0005876.fa:6:>sp|Q4VAE3|TMM65_MOUSE
xiphophorus_groups/OG0005909.fa:1:>sp|O75208|COQ9_HUMAN
xiphophorus_groups/OG0005909.fa:8:>sp|Q8K1Z0|COQ9_MOUSE
xiphophorus_groups/OG0005910.fa:1:>sp|O75251|NDUS7_HUMAN
xiphophorus_groups/OG0005910.fa:6:>sp|Q9DC70|NDUS7_MOUSE
xiphophorus_groups/OG0005917.fa:1:>sp|P82912|RT11_HUMAN
xiphophorus_groups/OG0005917.fa:6:>sp|Q9DCA2|RT11_MOUSE
xiphophorus_groups/OG0005955.fa:1:>sp|P14324|FPPS_HUMAN
xiphophorus_groups/OG0005955.fa:9:>sp|Q920E5|FPPS_MOUSE
xiphophorus_groups/OG0005959.fa:1:>sp|P53370|NUDT6_HUMAN
xiphophorus_groups/OG0005959.fa:8:>sp|Q8CH40|NUDT6_MOUSE
xiphophorus_groups/OG0005961.fa:1:>sp|Q02127|PYRD_HUMAN
xiphophorus_groups/OG0005961.fa:9:>sp|O35435|PYRD_MOUSE
xiphophorus_groups/OG0005987.fa:1:>sp|A4D1E9|GTPBA_HUMAN
xiphophorus_groups/OG0005987.fa:9:>sp|Q8K013|GTPBA_MOUSE
xiphophorus_groups/OG0005989.fa:1:>sp|O94826|TOM70_HUMAN
xiphophorus_groups/OG0005989.fa:13:>sp|Q9CZW5|TOM70_MOUSE
xiphophorus_groups/OG0005991.fa:1:>sp|P04181|OAT_HUMAN
xiphophorus_groups/OG0005991.fa:10:>sp|P29758|OAT_MOUSE
xiphophorus_groups/OG0006003.fa:1:>sp|Q7L2E3|DHX30_HUMAN
xiphophorus_groups/OG0006003.fa:22:>sp|Q99PU8|DHX30_MOUSE
xiphophorus_groups/OG0006006.fa:1:>sp|Q8IVH4|MMAA_HUMAN
xiphophorus_groups/OG0006006.fa:9:>sp|Q8C7H1|MMAA_MOUSE
xiphophorus_groups/OG0006009.fa:1:>sp|Q8NE62|CHDH_HUMAN
xiphophorus_groups/OG0006009.fa:12:>sp|Q8BJ64|CHDH_MOUSE
xiphophorus_groups/OG0006020.fa:1:>sp|Q9UKG9|OCTC_HUMAN
xiphophorus_groups/OG0006020.fa:13:>sp|Q9DC50|OCTC_MOUSE
xiphophorus_groups/OG0006037.fa:1:>sp|P58557|YBEY_HUMAN
xiphophorus_groups/OG0006037.fa:5:>sp|Q8CAV0|YBEY_MOUSE
xiphophorus_groups/OG0006039.fa:1:>sp|Q16134|ETFD_HUMAN
xiphophorus_groups/OG0006039.fa:13:>sp|Q921G7|ETFD_MOUSE
xiphophorus_groups/OG0006048.fa:1:>sp|Q8N983|RM43_HUMAN
xiphophorus_groups/OG0006048.fa:6:>sp|Q99N89|RM43_MOUSE
xiphophorus_groups/OG0006067.fa:1:>sp|O43824|GTPB6_HUMAN
xiphophorus_groups/OG0006067.fa:11:>sp|Q3U6U5|GTPB6_MOUSE
xiphophorus_groups/OG0006069.fa:1:>sp|O95299|NDUAA_HUMAN
xiphophorus_groups/OG0006069.fa:8:>sp|Q99LC3|NDUAA_MOUSE
xiphophorus_groups/OG0006071.fa:1:>sp|P0DJ07|PT100_HUMAN
xiphophorus_groups/OG0006071.fa:4:>sp|P0DJE0|PT100_MOUSE
xiphophorus_groups/OG0006074.fa:1:>sp|P30044|PRDX5_HUMAN
xiphophorus_groups/OG0006074.fa:6:>sp|P99029|PRDX5_MOUSE
xiphophorus_groups/OG0006080.fa:1:>sp|Q15785|TOM34_HUMAN
xiphophorus_groups/OG0006080.fa:8:>sp|Q9CYG7|TOM34_MOUSE
xiphophorus_groups/OG0006081.fa:1:>sp|Q5JTZ9|SYAM_HUMAN
xiphophorus_groups/OG0006081.fa:19:>sp|Q14CH7|SYAM_MOUSE
xiphophorus_groups/OG0006089.fa:1:>sp|Q8N4T8|CBR4_HUMAN
xiphophorus_groups/OG0006089.fa:6:>sp|Q91VT4|CBR4_MOUSE
xiphophorus_groups/OG0006090.fa:1:>sp|Q8TB22|SPT20_HUMAN
xiphophorus_groups/OG0006090.fa:16:>sp|Q80YT5|SPT20_MOUSE
xiphophorus_groups/OG0006095.fa:1:>sp|Q9BSH5|HDHD3_HUMAN
xiphophorus_groups/OG0006095.fa:7:>sp|Q9CYW4|HDHD3_MOUSE
xiphophorus_groups/OG0006111.fa:1:>sp|P11182|ODB2_HUMAN
xiphophorus_groups/OG0006111.fa:11:>sp|P53395|ODB2_MOUSE
xiphophorus_groups/OG0006116.fa:1:>sp|P53597|SUCA_HUMAN
xiphophorus_groups/OG0006116.fa:8:>sp|Q9WUM5|SUCA_MOUSE
xiphophorus_groups/OG0006132.fa:1:>sp|Q96DP5|FMT_HUMAN
xiphophorus_groups/OG0006132.fa:9:>sp|Q9D799|FMT_MOUSE
xiphophorus_groups/OG0006135.fa:1:>sp|Q9BRT2|UQCC2_HUMAN
xiphophorus_groups/OG0006135.fa:5:>sp|Q9CQY6|UQCC2_MOUSE
xiphophorus_groups/OG0006139.fa:1:>sp|Q9H4K7|MTG2_HUMAN
xiphophorus_groups/OG0006139.fa:9:>tr|A2AFK4|A2AFK4_MOUSE
xiphophorus_groups/OG0006141.fa:1:>sp|Q9NQZ5|STAR7_HUMAN
xiphophorus_groups/OG0006141.fa:9:>sp|Q8R1R3|STAR7_MOUSE
xiphophorus_groups/OG0006210.fa:1:>sp|Q96E29|MTEF3_HUMAN
xiphophorus_groups/OG0006210.fa:9:>sp|Q8R3J4|MTEF3_MOUSE
xiphophorus_groups/OG0006213.fa:1:>sp|Q9BU61|NDUF3_HUMAN
xiphophorus_groups/OG0006213.fa:6:>sp|Q9JKL4|NDUF3_MOUSE
xiphophorus_groups/OG0006223.fa:1:>sp|Q9Y2R9|RT07_HUMAN
xiphophorus_groups/OG0006223.fa:7:>sp|Q80X85|RT07_MOUSE
xiphophorus_groups/OG0006232.fa:1:>sp|P10620|MGST1_HUMAN
xiphophorus_groups/OG0006232.fa:5:>sp|Q91VS7|MGST1_MOUSE
xiphophorus_groups/OG0006236.fa:1:>sp|P55084|ECHB_HUMAN
xiphophorus_groups/OG0006236.fa:10:>sp|Q99JY0|ECHB_MOUSE
xiphophorus_groups/OG0006275.fa:1:>sp|Q00325|MPCP_HUMAN
xiphophorus_groups/OG0006275.fa:9:>sp|Q8VEM8|MPCP_MOUSE
xiphophorus_groups/OG0006302.fa:1:>sp|Q96RR1|PEO1_HUMAN
xiphophorus_groups/OG0006302.fa:14:>sp|Q8CIW5|PEO1_MOUSE
xiphophorus_groups/OG0006307.fa:1:>sp|Q9NPL8|TIDC1_HUMAN
xiphophorus_groups/OG0006307.fa:7:>sp|Q8BUY5|TIDC1_MOUSE
xiphophorus_groups/OG0006310.fa:1:>sp|Q9P0J6|RM36_HUMAN
xiphophorus_groups/OG0006310.fa:4:>sp|Q99N90|RM36_MOUSE
xiphophorus_groups/OG0006311.fa:1:>sp|Q9P0P8|MRES1_HUMAN
xiphophorus_groups/OG0006311.fa:6:>sp|Q9CQF4|MRES1_MOUSE
xiphophorus_groups/OG0006312.fa:1:>sp|Q9UGM6|SYWM_HUMAN
xiphophorus_groups/OG0006312.fa:8:>sp|Q9CYK1|SYWM_MOUSE
xiphophorus_groups/OG0006325.fa:1:>sp|Q07021|C1QBP_HUMAN
xiphophorus_groups/OG0006325.fa:7:>sp|O35658|C1QBP_MOUSE
xiphophorus_groups/OG0006348.fa:1:>sp|Q9BUV8|RCAF1_HUMAN
xiphophorus_groups/OG0006348.fa:5:>sp|Q9CQT9|RCAF1_MOUSE
xiphophorus_groups/OG0006362.fa:1:>sp|O75431|MTX2_HUMAN
xiphophorus_groups/OG0006362.fa:7:>sp|O88441|MTX2_MOUSE
xiphophorus_groups/OG0006365.fa:1:>sp|P07148|FABPL_HUMAN
xiphophorus_groups/OG0006365.fa:5:>sp|P12710|FABPL_MOUSE
xiphophorus_groups/OG0006378.fa:1:>sp|Q53R41|FAKD1_HUMAN
xiphophorus_groups/OG0006378.fa:17:>sp|Q6DI86|FAKD1_MOUSE
xiphophorus_groups/OG0006395.fa:1:>sp|Q96CM3|RUSD4_HUMAN
xiphophorus_groups/OG0006395.fa:9:>sp|Q9CWX4|RUSD4_MOUSE
xiphophorus_groups/OG0006428.fa:1:>sp|Q7L8L6|FAKD5_HUMAN
xiphophorus_groups/OG0006428.fa:15:>sp|Q7TMV3|FAKD5_MOUSE
xiphophorus_groups/OG0006434.fa:1:>sp|Q8N2A8|PLD6_HUMAN
xiphophorus_groups/OG0006434.fa:7:>sp|Q5SWZ9|PLD6_MOUSE
xiphophorus_groups/OG0006446.fa:1:>sp|Q9NNZ3|DNJC4_HUMAN
xiphophorus_groups/OG0006446.fa:7:>sp|Q9D844|DNJC4_MOUSE
xiphophorus_groups/OG0006449.fa:1:>sp|Q9NPJ3|ACO13_HUMAN
xiphophorus_groups/OG0006449.fa:5:>sp|Q9CQR4|ACO13_MOUSE
xiphophorus_groups/OG0006458.fa:1:>sp|O43920|NDUS5_HUMAN
xiphophorus_groups/OG0006458.fa:4:>sp|Q99LY9|NDUS5_MOUSE
xiphophorus_groups/OG0006473.fa:1:>sp|Q5TEU4|NDUF5_HUMAN
xiphophorus_groups/OG0006473.fa:8:>sp|A2APY7|NDUF5_MOUSE
xiphophorus_groups/OG0006475.fa:1:>sp|Q6P4H8|ACKMT_HUMAN
xiphophorus_groups/OG0006475.fa:6:>sp|Q9D1Z3|ACKMT_MOUSE
xiphophorus_groups/OG0006482.fa:1:>sp|Q96CU9|FXRD1_HUMAN
xiphophorus_groups/OG0006482.fa:11:>sp|Q3TQB2|FXRD1_MOUSE
xiphophorus_groups/OG0006499.fa:1:>sp|O95831|AIFM1_HUMAN
xiphophorus_groups/OG0006499.fa:13:>sp|Q9Z0X1|AIFM1_MOUSE
xiphophorus_groups/OG0006513.fa:1:>sp|Q8IXL7|MSRB3_HUMAN
xiphophorus_groups/OG0006513.fa:6:>sp|Q8BU85|MSRB3_MOUSE
xiphophorus_groups/OG0006570.fa:1:>sp|Q9UGC7|RF1ML_HUMAN
xiphophorus_groups/OG0006570.fa:9:>sp|Q8BJU9|RF1ML_MOUSE
xiphophorus_groups/OG0006581.fa:1:>sp|O43325|LYRM1_HUMAN
xiphophorus_groups/OG0006581.fa:5:>sp|Q9CQB7|LYRM1_MOUSE
xiphophorus_groups/OG0006587.fa:1:>sp|O95900|TRUB2_HUMAN
xiphophorus_groups/OG0006587.fa:8:>sp|Q91WG3|TRUB2_MOUSE
xiphophorus_groups/OG0006588.fa:1:>sp|P05165|PCCA_HUMAN
xiphophorus_groups/OG0006588.fa:15:>sp|Q91ZA3|PCCA_MOUSE
xiphophorus_groups/OG0006589.fa:1:>sp|P09669|COX6C_HUMAN
xiphophorus_groups/OG0006589.fa:4:>sp|Q9CPQ1|COX6C_MOUSE
xiphophorus_groups/OG0006604.fa:1:>sp|Q49B96|COX19_HUMAN
xiphophorus_groups/OG0006604.fa:4:>sp|Q8K0C8|COX19_MOUSE
xiphophorus_groups/OG0006608.fa:1:>sp|Q86Y79|PTH_HUMAN
xiphophorus_groups/OG0006608.fa:6:>sp|Q8BW00|PTH_MOUSE
xiphophorus_groups/OG0006609.fa:1:>sp|Q8IYB8|SUV3_HUMAN
xiphophorus_groups/OG0006609.fa:16:>sp|Q80YD1|SUV3_MOUSE
xiphophorus_groups/OG0006614.fa:1:>sp|Q8WWR8|NEUR4_HUMAN
xiphophorus_groups/OG0006614.fa:11:>sp|Q8BZL1|NEUR4_MOUSE
xiphophorus_groups/OG0006635.fa:1:>sp|O95168|NDUB4_HUMAN
xiphophorus_groups/OG0006635.fa:5:>sp|Q9CQC7|NDUB4_MOUSE
xiphophorus_groups/OG0006636.fa:1:>sp|O95178|NDUB2_HUMAN
xiphophorus_groups/OG0006636.fa:4:>sp|Q9CPU2|NDUB2_MOUSE
xiphophorus_groups/OG0006642.fa:1:>sp|P45954|ACDSB_HUMAN
xiphophorus_groups/OG0006642.fa:10:>sp|Q9DBL1|ACDSB_MOUSE
xiphophorus_groups/OG0006645.fa:1:>sp|P50213|IDH3A_HUMAN
xiphophorus_groups/OG0006645.fa:9:>sp|Q9D6R2|IDH3A_MOUSE
xiphophorus_groups/OG0006651.fa:1:>sp|Q14249|NUCG_HUMAN
xiphophorus_groups/OG0006651.fa:7:>sp|O08600|NUCG_MOUSE
xiphophorus_groups/OG0006667.fa:1:>sp|Q99595|TI17A_HUMAN
xiphophorus_groups/OG0006667.fa:5:>sp|Q9Z0V8|TI17A_MOUSE
xiphophorus_groups/OG0006681.fa:1:>sp|P83111|LACTB_HUMAN
xiphophorus_groups/OG0006681.fa:12:>sp|Q9EP89|LACTB_MOUSE
xiphophorus_groups/OG0006733.fa:1:>sp|P82673|RT35_HUMAN
xiphophorus_groups/OG0006733.fa:8:>sp|Q8BJZ4|RT35_MOUSE
xiphophorus_groups/OG0006743.fa:1:>sp|Q8NCW5|NNRE_HUMAN
xiphophorus_groups/OG0006743.fa:7:>sp|Q8K4Z3|NNRE_MOUSE
xiphophorus_groups/OG0006778.fa:1:>sp|Q96Q11|TRNT1_HUMAN
xiphophorus_groups/OG0006778.fa:10:>sp|Q8K1J6|TRNT1_MOUSE
xiphophorus_groups/OG0006787.fa:1:>sp|Q9NYY8|FAKD2_HUMAN
xiphophorus_groups/OG0006787.fa:14:>sp|Q922E6|FAKD2_MOUSE
xiphophorus_groups/OG0006804.fa:1:>sp|P56962|STX17_HUMAN
xiphophorus_groups/OG0006804.fa:8:>sp|Q9D0I4|STX17_MOUSE
xiphophorus_groups/OG0006815.fa:1:>sp|Q92552|RT27_HUMAN
xiphophorus_groups/OG0006815.fa:9:>sp|Q8BK72|RT27_MOUSE
xiphophorus_groups/OG0006817.fa:1:>sp|Q96BP2|CHCH1_HUMAN
xiphophorus_groups/OG0006817.fa:4:>sp|Q9CQA6|CHCH1_MOUSE
xiphophorus_groups/OG0006837.fa:1:>sp|O43837|IDH3B_HUMAN
xiphophorus_groups/OG0006837.fa:9:>tr|Q91VA7|Q91VA7_MOUSE
xiphophorus_groups/OG0006841.fa:1:>sp|O95721|SNP29_HUMAN
xiphophorus_groups/OG0006841.fa:7:>sp|Q9ERB0|SNP29_MOUSE
xiphophorus_groups/OG0006844.fa:1:>sp|P00441|SODC_HUMAN
xiphophorus_groups/OG0006844.fa:5:>sp|P08228|SODC_MOUSE
xiphophorus_groups/OG0006869.fa:1:>sp|Q9H078|CLPB_HUMAN
xiphophorus_groups/OG0006869.fa:14:>sp|Q60649|CLPB_MOUSE
xiphophorus_groups/OG0006870.fa:1:>sp|Q9NZJ7|MTCH1_HUMAN
xiphophorus_groups/OG0006870.fa:9:>sp|Q791T5|MTCH1_MOUSE
xiphophorus_groups/OG0006894.fa:1:>sp|Q7L3T8|SYPM_HUMAN
xiphophorus_groups/OG0006894.fa:10:>sp|Q8CFI5|SYPM_MOUSE
xiphophorus_groups/OG0006940.fa:1:>sp|Q9BSH4|TACO1_HUMAN
xiphophorus_groups/OG0006940.fa:7:>sp|Q8K0Z7|TACO1_MOUSE
xiphophorus_groups/OG0006941.fa:1:>sp|Q9BUB7|TMM70_HUMAN
xiphophorus_groups/OG0006941.fa:7:>sp|Q921N7|TMM70_MOUSE
xiphophorus_groups/OG0006945.fa:1:>sp|Q9NVH6|TMLH_HUMAN
xiphophorus_groups/OG0006945.fa:10:>sp|Q91ZE0|TMLH_MOUSE
xiphophorus_groups/OG0006947.fa:1:>sp|Q9NVV4|PAPD1_HUMAN
xiphophorus_groups/OG0006947.fa:12:>sp|Q9D0D3|PAPD1_MOUSE
xiphophorus_groups/OG0006951.fa:1:>sp|Q9UKA2|FBXL4_HUMAN
xiphophorus_groups/OG0006951.fa:13:>sp|Q8BH70|FBXL4_MOUSE
xiphophorus_groups/OG0006955.fa:1:>sp|A3KMH1|VWA8_HUMAN
xiphophorus_groups/OG0006955.fa:34:>sp|Q8CC88|VWA8_MOUSE
xiphophorus_groups/OG0006998.fa:1:>sp|Q9NUL7|DDX28_HUMAN
xiphophorus_groups/OG0006998.fa:11:>sp|Q9CWT6|DDX28_MOUSE
xiphophorus_groups/OG0007010.fa:1:>sp|O95169|NDUB8_HUMAN
xiphophorus_groups/OG0007010.fa:6:>sp|Q9D6J5|NDUB8_MOUSE
xiphophorus_groups/OG0007026.fa:1:>sp|Q86Y39|NDUAB_HUMAN
xiphophorus_groups/OG0007026.fa:5:>sp|Q9D8B4|NDUAB_MOUSE
xiphophorus_groups/OG0007029.fa:1:>sp|Q8N4Q0|PTGR3_HUMAN
xiphophorus_groups/OG0007029.fa:9:>sp|Q8BGC4|PTGR3_MOUSE
xiphophorus_groups/OG0007032.fa:1:>sp|Q92665|RT31_HUMAN
xiphophorus_groups/OG0007032.fa:9:>sp|Q61733|RT31_MOUSE
xiphophorus_groups/OG0007050.fa:1:>sp|O94903|PLPHP_HUMAN
xiphophorus_groups/OG0007050.fa:7:>sp|Q9Z2Y8|PLPHP_MOUSE
xiphophorus_groups/OG0007063.fa:1:>sp|Q4VC31|MIX23_HUMAN
xiphophorus_groups/OG0007063.fa:5:>sp|Q8R3Q6|MIX23_MOUSE
xiphophorus_groups/OG0007078.fa:1:>sp|Q8TB37|NUBPL_HUMAN
xiphophorus_groups/OG0007078.fa:8:>sp|Q9CWD8|NUBPL_MOUSE
xiphophorus_groups/OG0007081.fa:1:>sp|Q96A35|RM24_HUMAN
xiphophorus_groups/OG0007081.fa:6:>sp|Q9CQ06|RM24_MOUSE
xiphophorus_groups/OG0007091.fa:1:>sp|Q9Y2Z2|MTO1_HUMAN
xiphophorus_groups/OG0007091.fa:14:>sp|Q923Z3|MTO1_MOUSE
xiphophorus_groups/OG0007103.fa:1:>sp|P35232|PHB1_HUMAN
xiphophorus_groups/OG0007103.fa:7:>sp|P67778|PHB1_MOUSE
xiphophorus_groups/OG0007113.fa:1:>sp|Q5TC12|ATPF1_HUMAN
xiphophorus_groups/OG0007113.fa:8:>sp|Q811I0|ATPF1_MOUSE
xiphophorus_groups/OG0007114.fa:1:>sp|Q70HW3|SAMC_HUMAN
xiphophorus_groups/OG0007114.fa:7:>sp|Q5U680|SAMC_MOUSE
xiphophorus_groups/OG0007125.fa:1:>sp|Q96EL3|RM53_HUMAN
xiphophorus_groups/OG0007125.fa:4:>sp|Q9D1H8|RM53_MOUSE
xiphophorus_groups/OG0007126.fa:1:>sp|Q96I59|SYNM_HUMAN
xiphophorus_groups/OG0007126.fa:10:>sp|Q8BGV0|SYNM_MOUSE
xiphophorus_groups/OG0007134.fa:1:>sp|Q9Y5J7|TIM9_HUMAN
xiphophorus_groups/OG0007134.fa:4:>sp|Q9WV98|TIM9_MOUSE
xiphophorus_groups/OG0007152.fa:1:>sp|Q6YP21|KAT3_HUMAN
xiphophorus_groups/OG0007152.fa:10:>sp|Q71RI9|KAT3_MOUSE
xiphophorus_groups/OG0007164.fa:1:>sp|Q9HC36|MRM3_HUMAN
xiphophorus_groups/OG0007164.fa:9:>sp|Q5ND52|MRM3_MOUSE
xiphophorus_groups/OG0007166.fa:1:>sp|Q9NNW7|TRXR2_HUMAN
xiphophorus_groups/OG0007166.fa:11:>sp|Q9JLT4|TRXR2_MOUSE
xiphophorus_groups/OG0007167.fa:1:>sp|Q9NQ50|RM40_HUMAN
xiphophorus_groups/OG0007167.fa:6:>sp|Q9Z2Q5|RM40_MOUSE
xiphophorus_groups/OG0007170.fa:1:>sp|Q9NTG7|SIR3_HUMAN
xiphophorus_groups/OG0007170.fa:9:>sp|Q8R104|SIR3_MOUSE
xiphophorus_groups/OG0007174.fa:1:>sp|Q9UL12|SARDH_HUMAN
xiphophorus_groups/OG0007174.fa:18:>sp|Q99LB7|SARDH_MOUSE
xiphophorus_groups/OG0007183.fa:1:>sp|O14949|QCR8_HUMAN
xiphophorus_groups/OG0007183.fa:4:>sp|Q9CQ69|QCR8_MOUSE
xiphophorus_groups/OG0007184.fa:1:>sp|O43716|GATC_HUMAN
xiphophorus_groups/OG0007184.fa:5:>sp|Q8CBY0|GATC_MOUSE
xiphophorus_groups/OG0007188.fa:1:>sp|P62072|TIM10_HUMAN
xiphophorus_groups/OG0007188.fa:4:>sp|P62073|TIM10_MOUSE
xiphophorus_groups/OG0007192.fa:1:>sp|Q14296|FASTK_HUMAN
xiphophorus_groups/OG0007192.fa:12:>sp|Q9JIX9|FASTK_MOUSE
xiphophorus_groups/OG0007195.fa:1:>sp|Q6J4K2|NCLX_HUMAN
xiphophorus_groups/OG0007195.fa:12:>sp|Q925Q3|NCLX_MOUSE
xiphophorus_groups/OG0007212.fa:1:>sp|Q9GZT3|SLIRP_HUMAN
xiphophorus_groups/OG0007212.fa:4:>sp|Q9D8T7|SLIRP_MOUSE
xiphophorus_groups/OG0007240.fa:1:>sp|Q4J6C6|PPCEL_HUMAN
xiphophorus_groups/OG0007240.fa:15:>sp|Q8C167|PPCEL_MOUSE
xiphophorus_groups/OG0007246.fa:1:>sp|Q8NBN7|RDH13_HUMAN
xiphophorus_groups/OG0007246.fa:8:>sp|Q8CEE7|RDH13_MOUSE
xiphophorus_groups/OG0007257.fa:1:>sp|Q96ST8|CEP89_HUMAN
xiphophorus_groups/OG0007257.fa:16:>sp|Q9CZX2|CEP89_MOUSE
xiphophorus_groups/OG0007329.fa:1:>sp|Q6ZT89|S2548_HUMAN
xiphophorus_groups/OG0007329.fa:8:>sp|Q8BW66|S2548_MOUSE
xiphophorus_groups/OG0007352.fa:1:>sp|O60830|TI17B_HUMAN
xiphophorus_groups/OG0007352.fa:5:>sp|Q9Z0V7|TI17B_MOUSE
xiphophorus_groups/OG0007357.fa:1:>sp|P11310|ACADM_HUMAN
xiphophorus_groups/OG0007357.fa:10:>sp|P45952|ACADM_MOUSE
xiphophorus_groups/OG0007410.fa:1:>sp|Q13057|COASY_HUMAN
xiphophorus_groups/OG0007410.fa:12:>sp|Q9DBL7|COASY_MOUSE
xiphophorus_groups/OG0007440.fa:1:>sp|P82914|RT15_HUMAN
xiphophorus_groups/OG0007440.fa:7:>sp|Q9DC71|RT15_MOUSE
xiphophorus_groups/OG0007489.fa:1:>sp|P82650|RT22_HUMAN
xiphophorus_groups/OG0007489.fa:8:>sp|Q9CXW2|RT22_MOUSE
xiphophorus_groups/OG0007508.fa:1:>sp|Q9BQ48|RM34_HUMAN
xiphophorus_groups/OG0007508.fa:4:>sp|Q99N91|RM34_MOUSE
